graph,strategy,b,mean_salvados,std_salvados,mean_quemados,mean_protegidos,mean_salvados_pct,std_salvados_pct,mean_turns,mean_elapsed_ms,n_replicas,median_salvados_pct,frac_above_50pct
ER,grado_strategy,1,4.01,0.09999999999999999,595.99,4.01,0.6683333333333327,0.016666666666666663,500.0,76.45,100,0.6666666666666667,1.0
ER,aleatoria_strategy,1,4.01,0.09999999999999999,595.99,4.01,0.6683333333333327,0.016666666666666663,500.0,61.23,100,0.6666666666666667,1.0
ER,bfs_strategy,1,4.03,0.17144660799776545,595.97,4.02,0.671666666666666,0.028574434666294238,500.0,139.88,100,0.6666666666666667,1.0
ER,cercania_strategy,1,4.03,0.17144660799776545,595.97,4.02,0.671666666666666,0.028574434666294238,500.0,24273.88,100,0.6666666666666667,1.0
ER,dfs_strategy,1,4.03,0.17144660799776545,595.97,4.02,0.671666666666666,0.028574434666294238,500.0,145.41,100,0.6666666666666667,1.0
ER,grado_strategy,3,12.01,0.09999999999999999,587.99,12.01,2.001666666666667,0.016666666666666698,500.0,30.38,100,2.0,1.0
ER,aleatoria_strategy,3,12.02,0.14070529413628963,587.98,12.02,2.0033333333333334,0.023450882356048346,500.0,29.58,100,2.0,1.0
ER,bfs_strategy,3,12.31,0.8372031359885674,587.69,12.3,2.0516666666666667,0.13953385599809442,500.0,64.28,100,2.0,1.0
ER,cercania_strategy,3,12.32,0.8862587350511966,587.68,12.31,2.0533333333333332,0.14770978917519925,500.0,20001.68,100,2.0,1.0
ER,dfs_strategy,3,12.04,0.19694638556693222,587.96,12.03,2.0066666666666664,0.032824397594488804,500.0,122.43,100,2.0,1.0
ER,grado_strategy,5,20.01,0.09999999999999991,579.99,20.01,3.334999999999998,0.0166666666666667,500.0,31.64,100,3.3333333333333335,1.0
ER,aleatoria_strategy,5,20.02,0.14070529413628963,579.98,20.02,3.336666666666665,0.023450882356048332,500.0,30.27,100,3.3333333333333335,1.0
ER,bfs_strategy,5,32.64,81.34556788259216,567.36,32.63,5.439999999999997,13.557594647098677,500.0,59.85,100,3.3333333333333335,1.0
ER,cercania_strategy,5,32.71,81.33597797488719,567.29,32.7,5.451666666666663,13.555996329147819,500.0,26544.64,100,3.3333333333333335,1.0
ER,dfs_strategy,5,20.04,0.19694638556693222,579.96,20.03,3.339999999999998,0.03282439759448878,500.0,123.78,100,3.3333333333333335,1.0
ER,grado_strategy,10,40.04,0.19694638556693217,559.96,40.04,6.673333333333329,0.03282439759448863,500.0,28.71,100,6.666666666666667,1.0
ER,aleatoria_strategy,10,39.93,0.38283894337652746,560.07,39.93,6.654999999999997,0.06380649056275456,500.0,28.1,100,6.666666666666667,1.0
ER,bfs_strategy,10,294.79,276.52202480457186,305.21,294.78,49.13166666666666,46.08700413409527,500.0,51.47,100,9.416666666666668,1.0
ER,cercania_strategy,10,294.61,276.6785647313831,305.39,294.6,49.10166666666666,46.113094121897184,500.0,10118.27,100,9.25,1.0
ER,dfs_strategy,10,40.06,0.48865926655275654,559.94,40.05,6.676666666666663,0.08144321109212597,500.0,117.41,100,6.666666666666667,1.0
BA,grado_strategy,1,10.76,3.0850568483539735,589.24,10.76,1.793333333333334,0.5141761413923289,500.0,24.02,100,1.75,1.0
BA,aleatoria_strategy,1,5.65,0.5924610544247619,594.35,5.65,0.9416666666666663,0.09874350907079377,500.0,40.36,100,1.0,1.0
BA,bfs_strategy,1,22.34,82.70383084454814,577.66,20.38,3.723333333333333,13.783971807424708,500.0,817.76,100,1.6666666666666667,1.0
BA,cercania_strategy,1,21.3,82.84663938003555,578.7,19.34,3.5499999999999994,13.807773230005921,500.0,12822.9,100,1.5,1.0
BA,dfs_strategy,1,8.19,2.214255923087773,591.81,8.19,1.3650000000000002,0.3690426538479626,500.0,76.38,100,1.3333333333333335,1.0
BA,grado_strategy,3,56.3,12.50333288900737,543.7,56.3,9.383333333333336,2.083888814834561,500.0,19.2,100,9.333333333333334,1.0
BA,aleatoria_strategy,3,16.82,1.6041612554021285,583.18,16.82,2.8033333333333332,0.2673602092336881,500.0,18.06,100,2.833333333333333,1.0
BA,bfs_strategy,3,559.87,141.1462208369947,40.13,559.87,93.31166666666667,23.524370139499123,500.0,38.29,100,99.83333333333333,1.0
BA,cercania_strategy,3,542.93,168.20443639881313,57.07,542.93,90.48833333333332,28.03407273313553,500.0,1248.0,100,99.83333333333333,1.0
BA,dfs_strategy,3,49.83,79.49678285848105,550.17,49.83,8.304999999999998,13.249463809746842,500.0,75.18,100,6.333333333333334,1.0
BA,grado_strategy,5,125.1,57.41370335846079,474.9,125.1,20.850000000000005,9.568950559743467,500.0,15.8,100,19.166666666666668,1.0
BA,aleatoria_strategy,5,28.04,2.3822576508748,571.96,28.04,4.673333333333336,0.3970429418124668,500.0,17.32,100,4.666666666666667,1.0
BA,bfs_strategy,5,588.27,73.39540830049212,11.73,588.27,98.045,12.232568050082012,500.0,28.11,100,99.83333333333333,1.0
BA,cercania_strategy,5,582.51,93.26680475221,17.49,582.51,97.085,15.544467458701696,500.0,397.56,100,99.83333333333333,1.0
BA,dfs_strategy,5,96.24,116.76118422409965,503.76,96.24,16.040000000000006,19.46019737068327,500.0,72.86,100,11.916666666666668,1.0
BA,grado_strategy,10,338.5,85.38191088907946,261.5,338.5,56.41666666666666,14.23031848151324,500.0,15.89,100,54.0,1.0
